                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.85353,                 0.4234,                0.84126,                0.78577,                0.54888,                0.62127,                0.41906,                0.78235,                0.37514,                0.81842,              0.0076636,              0.0076636,              0.0076636
                     61,                0.85461,                0.42483,                0.84235,                0.79376,                0.54251,                0.62091,                0.41869,                0.78196,                0.37455,                0.81799,               0.007624,               0.007624,               0.007624
                     62,                0.85109,                0.42368,                0.84308,                0.78489,                0.55106,                0.62203,                0.41959,                 0.7824,                0.37344,                0.81817,              0.0075844,              0.0075844,              0.0075844
                     63,                0.85303,                0.42505,                0.84218,                0.78934,                 0.5498,                0.62364,                0.42089,                0.78078,                0.37242,                0.81792,              0.0075448,              0.0075448,              0.0075448
                     64,                0.84968,                0.42207,                0.84269,                0.78768,                0.55051,                0.62349,                0.42054,                0.78056,                0.37194,                0.81779,              0.0075052,              0.0075052,              0.0075052
                     65,                0.84765,                 0.4216,                0.84152,                0.78707,                0.55113,                0.62386,                0.42103,                0.77828,                0.37131,                0.81735,              0.0074656,              0.0074656,              0.0074656
                     66,                0.84826,                0.42044,                0.84132,                0.78185,                0.55253,                0.62435,                0.42219,                0.77801,                0.37032,                 0.8172,               0.007426,               0.007426,               0.007426
                     67,                0.84441,                0.41966,                0.84149,                0.78327,                0.55258,                0.62555,                0.42377,                0.77699,                 0.3703,                  0.817,              0.0073864,              0.0073864,              0.0073864
                     68,                0.84225,                0.41772,                0.84132,                0.77885,                0.55622,                0.62566,                0.42312,                0.77728,                0.36988,                0.81705,              0.0073468,              0.0073468,              0.0073468
                     69,                0.84148,                0.41712,                0.84045,                0.78444,                0.55348,                 0.6275,                 0.4243,                0.77465,                0.36852,                0.81641,              0.0073072,              0.0073072,              0.0073072
                     70,                0.84144,                 0.4164,                0.84078,                0.78564,                 0.5522,                0.62746,                0.42493,                0.77374,                0.36777,                0.81632,              0.0072676,              0.0072676,              0.0072676
                     71,                0.83661,                0.41635,                0.84051,                0.78192,                0.55476,                0.62658,                0.42487,                0.77355,                0.36846,                0.81609,               0.007228,               0.007228,               0.007228
